"","Size (nt)","Category","Protein","No. Genes"
"452","237850","Replication and nucleic acid metabolism","Thymidylate synthase",1
"453","237850","Structural proteins","Major capsid protein",1
"454","237850","Structural proteins","Tail sheath protein ",1
"455","237850","Structural proteins","Virion structural protein",8
"456","239560","Lysis","LysC protein",3
"457","239560","Packaging and assembly","Terminase large subunit protein",3
"458","239560","Replication and nucleic acid metabolism","DNA helicase",9
"459","239560","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",3
"460","239560","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"461","239560","Replication and nucleic acid metabolism","Ribonuclease H",3
"462","239560","Replication and nucleic acid metabolism","Thymidylate synthase",3
"463","239560","Structural proteins","Major capsid protein",3
"464","239560","Structural proteins","Tail sheath protein ",3
"465","239560","Structural proteins","Virion structural protein",27
"466","239763","Auxilliary metabolic genes","Dihydrofolate reductase",1
"467","239763","Lysis","LysC protein",1
"468","239763","Packaging and assembly","Adhesin",1
"469","239763","Replication and nucleic acid metabolism","DNA helicase",3
"470","239763","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"471","239763","Replication and nucleic acid metabolism","Ribonuclease H",1
"472","239763","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"473","239763","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"474","239763","Replication and nucleic acid metabolism","Thymidylate kinase",1
"475","239763","Replication and nucleic acid metabolism","Thymidylate synthase",1
"476","239763","Structural proteins","Major capsid protein",1
"477","239763","Structural proteins","Tail sheath protein ",1
"478","239763","Structural proteins","Virion structural protein",9
"479","240432","Auxilliary metabolic genes","Dihydrofolate reductase",1
"480","240432","Lysis","LysC protein",1
"481","240432","Packaging and assembly","Adhesin",1
"482","240432","Replication and nucleic acid metabolism","DNA helicase",3
"483","240432","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"484","240432","Replication and nucleic acid metabolism","Ribonuclease H",1
"485","240432","Replication and nucleic acid metabolism","Ribonucleotide reductase",1
"486","240432","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"487","240432","Replication and nucleic acid metabolism","Thymidylate kinase",1
"488","240432","Replication and nucleic acid metabolism","Thymidylate synthase",1
"489","240432","Structural proteins","Major capsid protein",1
"490","240432","Structural proteins","Tail sheath protein ",1
"491","240432","Structural proteins","Virion structural protein",10
"492","241494","Auxilliary metabolic genes","Dihydrofolate reductase",3
"493","241494","Lysis","LysC protein",3
"494","241494","Packaging and assembly","Adhesin",3
"495","241494","Replication and nucleic acid metabolism","DNA helicase",9
"496","241494","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"497","241494","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"498","241494","Replication and nucleic acid metabolism","Ribonuclease H",3
"499","241494","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"500","241494","Replication and nucleic acid metabolism","Thymidylate kinase",3
"501","241494","Replication and nucleic acid metabolism","Thymidylate synthase",3
"502","241494","Structural proteins","Major capsid protein",3
"503","241494","Structural proteins","Tail sheath protein ",3
"504","241494","Structural proteins","Virion structural protein",27
"505","241528","Auxilliary metabolic genes","Dihydrofolate reductase",3
"506","241528","Lysis","LysC protein",3
"507","241528","Packaging and assembly","Adhesin",3
"508","241528","Replication and nucleic acid metabolism","DNA helicase",9
"509","241528","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"510","241528","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"511","241528","Replication and nucleic acid metabolism","Ribonuclease H",3
"512","241528","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"513","241528","Replication and nucleic acid metabolism","Thymidylate kinase",3
"514","241528","Replication and nucleic acid metabolism","Thymidylate synthase",3
"515","241528","Structural proteins","Major capsid protein",3
"516","241528","Structural proteins","Tail sheath protein ",3
"517","241528","Structural proteins","Virion structural protein",27
"518","242314","Auxilliary metabolic genes","Dihydrofolate reductase",3
"519","242314","Packaging and assembly","Adhesin",3
"520","242314","Replication and nucleic acid metabolism","DNA helicase",9
"521","242314","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"522","242314","Replication and nucleic acid metabolism","Ribonuclease H",3
"523","242314","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"524","242314","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",3
"525","242314","Replication and nucleic acid metabolism","Thymidylate kinase",3
"526","242314","Replication and nucleic acid metabolism","Thymidylate synthase",3
"527","242314","Structural proteins","Major capsid protein",3
"528","242314","Structural proteins","Tail sheath protein ",3
"529","242314","Structural proteins","Virion structural protein",27
"530","242324","Auxilliary metabolic genes","Dihydrofolate reductase",3
"531","242324","Packaging and assembly","Adhesin",3
"532","242324","Replication and nucleic acid metabolism","DNA helicase",9
"533","242324","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"534","242324","Replication and nucleic acid metabolism","Ribonuclease H",3
"535","242324","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"536","242324","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",3
"537","242324","Replication and nucleic acid metabolism","Thymidylate kinase",3
"538","242324","Replication and nucleic acid metabolism","Thymidylate synthase",3
"539","242324","Structural proteins","Major capsid protein",3
"540","242324","Structural proteins","Tail sheath protein ",3
"541","242324","Structural proteins","Virion structural protein",27
"542","243417","Replication and nucleic acid metabolism","DNA helicase",8
"543","243417","Replication and nucleic acid metabolism","HNH endonuclease domain protein",4
"544","243417","Replication and nucleic acid metabolism","Recombination endonuclease subunit",4
"545","243417","Replication and nucleic acid metabolism","Ribonuclease H",4
"546","243417","Replication and nucleic acid metabolism","Ribonucleotide reductase",8
"547","243417","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",8
"548","243417","Replication and nucleic acid metabolism","Thymidylate kinase",4
"549","243417","Structural proteins","Major capsid protein",4
"550","243417","Structural proteins","Tail fiber protein",4
"551","243417","Structural proteins","Tail sheath protein ",4
"552","243417","Structural proteins","Virion structural protein",16
"553","244976","Replication and nucleic acid metabolism","DNA helicase",4
"554","244976","Replication and nucleic acid metabolism","HNH endonuclease domain protein",4
"555","244976","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"556","244976","Replication and nucleic acid metabolism","Ribonuclease H",2
"557","244976","Replication and nucleic acid metabolism","Ribonucleotide reductase",4
"558","244976","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",4
"559","244976","Replication and nucleic acid metabolism","Thymidylate kinase",2
"560","244976","Structural proteins","Major capsid protein",2
"561","244976","Structural proteins","Tail sheath protein ",2
"562","244976","Structural proteins","Virion structural protein",8
"563","245864","DNA-binding and transcription regulators","Transposase",2
"564","245864","Replication and nucleic acid metabolism","DNA helicase",6
"565","245864","Replication and nucleic acid metabolism","HNH endonuclease domain protein",4
"566","245864","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"567","245864","Replication and nucleic acid metabolism","Ribonuclease H",2
"568","245864","Replication and nucleic acid metabolism","Ribonucleotide reductase",4
"569","245864","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",4
"570","245864","Replication and nucleic acid metabolism","Thymidylate kinase",2
"571","245864","Structural proteins","Major capsid protein",2
"572","245864","Structural proteins","Tail fiber protein",2
"573","245864","Structural proteins","Tail sheath protein ",2
"574","245864","Structural proteins","Virion structural protein",8
"575","245871","DNA-binding and transcription regulators","Transposase",2
"576","245871","Replication and nucleic acid metabolism","DNA helicase",6
"577","245871","Replication and nucleic acid metabolism","HNH endonuclease domain protein",4
"578","245871","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"579","245871","Replication and nucleic acid metabolism","Ribonuclease H",2
"580","245871","Replication and nucleic acid metabolism","Ribonucleotide reductase",4
"581","245871","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",4
"582","245871","Replication and nucleic acid metabolism","Thymidylate kinase",2
"583","245871","Structural proteins","Major capsid protein",2
"584","245871","Structural proteins","Tail fiber protein",2
"585","245871","Structural proteins","Tail sheath protein ",2
"586","245871","Structural proteins","Virion structural protein",8
"587","248802","Auxilliary metabolic genes","Dihydrofolate reductase",3
"588","248802","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",3
"589","248802","DNA-binding and transcription regulators","DNA methylase",6
"590","248802","DNA-binding and transcription regulators","RNA polymerase sigma factor",3
"591","248802","DNA-binding and transcription regulators","Transposase",18
"592","248802","Lysis","Lysozyme",3
"593","248802","Replication and nucleic acid metabolism","DNA helicase",9
"594","248802","Replication and nucleic acid metabolism","DNA polymerase",12
"595","248802","Replication and nucleic acid metabolism","Exonuclease",3
"596","248802","Replication and nucleic acid metabolism","Recombination endonuclease subunit",6
"597","248802","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"598","248802","Replication and nucleic acid metabolism","Thymidylate synthase",3
"599","248802","Structural proteins","Baseplate wedge subunit",3
"600","248802","Structural proteins","Head completion protein",3
"601","248802","Structural proteins","Major capsid protein",3
"602","248802","Structural proteins","Neck protein",3
"603","248802","Structural proteins","Portal vertex protein",3
"604","248802","Structural proteins","Prohead core scaffolding protein and protease ",3
"605","248802","Structural proteins","Tail sheath protein ",3
"606","248802","Structural proteins","Tail tube protein",3
"607","249678","Auxilliary metabolic genes","Dihydrofolate reductase",2
"608","249678","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",2
"609","249678","DNA-binding and transcription regulators","DNA methylase",4
"610","249678","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"611","249678","DNA-binding and transcription regulators","Transposase",4
"612","249678","Lysis","Lysozyme",2
"613","249678","Replication and nucleic acid metabolism","DNA helicase",6
"614","249678","Replication and nucleic acid metabolism","DNA polymerase",8
"615","249678","Replication and nucleic acid metabolism","Exonuclease",2
"616","249678","Replication and nucleic acid metabolism","Recombination endonuclease subunit",4
"617","249678","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"618","249678","Replication and nucleic acid metabolism","Thymidylate synthase",2
"619","249678","Structural proteins","Baseplate wedge subunit",2
"620","249678","Structural proteins","Head completion protein",2
"621","249678","Structural proteins","Major capsid protein",2
"622","249678","Structural proteins","Neck protein",2
"623","249678","Structural proteins","Portal vertex protein",2
"624","249678","Structural proteins","Prohead core scaffolding protein and protease ",2
"625","249678","Structural proteins","Tail sheath protein ",2
"626","249678","Structural proteins","Tail tube protein",2
"627","250771","Auxilliary metabolic genes","Dihydrofolate reductase",2
"628","250771","Replication and nucleic acid metabolism","DNA helicase",6
"629","250771","Replication and nucleic acid metabolism","Exonuclease",2
"630","250771","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"631","250771","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"632","250771","Replication and nucleic acid metabolism","Ribonuclease H",2
"633","250771","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"634","250771","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"635","250771","Replication and nucleic acid metabolism","Thymidylate kinase",2
"636","250771","Replication and nucleic acid metabolism","Thymidylate synthase",2
"637","250771","Structural proteins","Major capsid protein",2
"638","250771","Structural proteins","Tail sheath protein ",2
"639","250771","Structural proteins","Virion structural protein",18
"640","253246","Replication and nucleic acid metabolism","DNA helicase",2
"641","253246","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"642","253246","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"643","253246","Replication and nucleic acid metabolism","Ribonuclease H",1
"644","253246","Replication and nucleic acid metabolism","Ribonucleotide reductase",1
"645","253246","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"646","253246","Replication and nucleic acid metabolism","Thymidylate kinase",1
"647","253246","Structural proteins","Major capsid protein",1
"648","253246","Structural proteins","Prohead peptidase gp175 protein",1
"649","253246","Structural proteins","Tail fiber protein",1
"650","253246","Structural proteins","Tail sheath protein ",1
"651","253246","Structural proteins","Virion structural protein",4
"652","253437","Auxilliary metabolic genes","Dihydrofolate reductase",2
"653","253437","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",2
"654","253437","DNA-binding and transcription regulators","DNA methylase",4
"655","253437","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"656","253437","DNA-binding and transcription regulators","Transposase",6
"657","253437","Lysis","Lysozyme",2
"658","253437","Replication and nucleic acid metabolism","DNA helicase",6
"659","253437","Replication and nucleic acid metabolism","DNA polymerase",8
"660","253437","Replication and nucleic acid metabolism","Exonuclease",2
"661","253437","Replication and nucleic acid metabolism","Recombination endonuclease subunit",4
"662","253437","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"663","253437","Replication and nucleic acid metabolism","Thymidylate synthase",2
"664","253437","Structural proteins","Baseplate wedge subunit",2
"665","253437","Structural proteins","Head completion protein",2
"666","253437","Structural proteins","Major capsid protein",2
"667","253437","Structural proteins","Neck protein",2
"668","253437","Structural proteins","Portal vertex protein",2
"669","253437","Structural proteins","Prohead core scaffolding protein and protease ",2
"670","253437","Structural proteins","Tail sheath protein ",2
"671","253437","Structural proteins","Tail tube protein",2
"672","254595","Auxilliary metabolic genes","Dihydrofolate reductase",1
"673","254595","Lysis","Lysin A",1
"674","254595","Packaging and assembly","Adhesin",1
"675","254595","Replication and nucleic acid metabolism","DNA helicase",2
"676","254595","Replication and nucleic acid metabolism","HNH endonuclease domain protein",1
"677","254595","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",1
"678","254595","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"679","254595","Replication and nucleic acid metabolism","Ribonuclease H",1
"680","254595","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"681","254595","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",1
"682","254595","Replication and nucleic acid metabolism","Thymidylate synthase",1
"683","254595","Structural proteins","Major capsid protein",1
"684","254595","Structural proteins","Tail sheath protein ",1
"685","254595","Structural proteins","Virion structural protein",8
"686","254822","Auxilliary metabolic genes","Dihydrofolate reductase",2
"687","254822","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",2
"688","254822","DNA-binding and transcription regulators","DNA methylase",4
"689","254822","DNA-binding and transcription regulators","RNA polymerase sigma factor",2
"690","254822","DNA-binding and transcription regulators","Transposase",16
"691","254822","Lysis","Lysozyme",2
"692","254822","Replication and nucleic acid metabolism","DNA helicase",6
"693","254822","Replication and nucleic acid metabolism","DNA polymerase",8
"694","254822","Replication and nucleic acid metabolism","Exonuclease",2
"695","254822","Replication and nucleic acid metabolism","Recombination endonuclease subunit",4
"696","254822","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"697","254822","Replication and nucleic acid metabolism","Thymidylate synthase",2
"698","254822","Structural proteins","Baseplate wedge subunit",2
"699","254822","Structural proteins","Head completion protein",2
"700","254822","Structural proteins","Major capsid protein",2
"701","254822","Structural proteins","Neck protein",2
"702","254822","Structural proteins","Portal vertex protein",2
"703","254822","Structural proteins","Prohead core scaffolding protein and protease ",2
"704","254822","Structural proteins","Tail sheath protein ",2
"705","254822","Structural proteins","Tail tube protein",2
"706","256959","Auxilliary metabolic genes","Dihydrofolate reductase",2
"707","256959","Packaging and assembly","Adhesin",2
"708","256959","Replication and nucleic acid metabolism","DNA helicase",6
"709","256959","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"710","256959","Replication and nucleic acid metabolism","Ribonuclease H",2
"711","256959","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"712","256959","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"713","256959","Replication and nucleic acid metabolism","Thymidylate synthase",2
"714","256959","Structural proteins","Major capsid protein",2
"715","256959","Structural proteins","Tail sheath protein ",2
"716","256959","Structural proteins","Virion structural protein",16
"717","256964","Auxilliary metabolic genes","Dihydrofolate reductase",3
"718","256964","Packaging and assembly","Adhesin",3
"719","256964","Replication and nucleic acid metabolism","DNA helicase",9
"720","256964","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"721","256964","Replication and nucleic acid metabolism","Ribonuclease H",3
"722","256964","Replication and nucleic acid metabolism","Ribonucleotide reductase",3
"723","256964","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",3
"724","256964","Replication and nucleic acid metabolism","Thymidylate synthase",3
"725","256964","Structural proteins","Major capsid protein",3
"726","256964","Structural proteins","Tail sheath protein ",3
"727","256964","Structural proteins","Virion structural protein",24
"728","258288","Auxilliary metabolic genes","Dihydrofolate reductase",5
"729","258288","Packaging and assembly","Adhesin",5
"730","258288","Replication and nucleic acid metabolism","DNA helicase",15
"731","258288","Replication and nucleic acid metabolism","Recombination endonuclease subunit",5
"732","258288","Replication and nucleic acid metabolism","Ribonuclease H",5
"733","258288","Replication and nucleic acid metabolism","Ribonucleotide reductase",5
"734","258288","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",5
"735","258288","Replication and nucleic acid metabolism","Thymidylate synthase",5
"736","258288","Structural proteins","Major capsid protein",5
"737","258288","Structural proteins","Tail sheath protein ",5
"738","258288","Structural proteins","Virion structural protein",40
"739","258293","Auxilliary metabolic genes","Dihydrofolate reductase",5
"740","258293","Packaging and assembly","Adhesin",5
"741","258293","Replication and nucleic acid metabolism","DNA helicase",15
"742","258293","Replication and nucleic acid metabolism","Recombination endonuclease subunit",5
"743","258293","Replication and nucleic acid metabolism","Ribonuclease H",5
"744","258293","Replication and nucleic acid metabolism","Ribonucleotide reductase",5
"745","258293","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",5
"746","258293","Replication and nucleic acid metabolism","Thymidylate synthase",5
"747","258293","Structural proteins","Major capsid protein",5
"748","258293","Structural proteins","Tail sheath protein ",5
"749","258293","Structural proteins","Virion structural protein",40
"750","260368","Lysis","Endolysin",2
"751","260368","Replication and nucleic acid metabolism","DNA helicase",6
"752","260368","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",8
"753","260368","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"754","260368","Replication and nucleic acid metabolism","Ribonuclease H",2
"755","260368","Replication and nucleic acid metabolism","Thymidylate kinase",2
"756","260368","Structural proteins","Major capsid protein",2
"757","260368","Structural proteins","Tail sheath protein ",2
"758","260368","Structural proteins","Tape measure protein",2
"759","260368","Structural proteins","Virion structural protein",12
"760","260460","Auxilliary metabolic genes","Dihydrofolate reductase",2
"761","260460","Lysis","Endolysin",2
"762","260460","Packaging and assembly","Adhesin",2
"763","260460","Packaging and assembly","Terminase large subunit protein",2
"764","260460","Replication and nucleic acid metabolism","DHH phosphoesterase",2
"765","260460","Replication and nucleic acid metabolism","DNA helicase",4
"766","260460","Replication and nucleic acid metabolism","HNH endonuclease domain protein",2
"767","260460","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"768","260460","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"769","260460","Replication and nucleic acid metabolism","Ribonuclease H",2
"770","260460","Replication and nucleic acid metabolism","Ribonucleotide reductase",2
"771","260460","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",2
"772","260460","Replication and nucleic acid metabolism","RNA ligase",2
"773","260460","Replication and nucleic acid metabolism","Thymidylate kinase",2
"774","260460","Replication and nucleic acid metabolism","Thymidylate synthase",4
"775","260460","Structural proteins","Major capsid protein",2
"776","260460","Structural proteins","Tail sheath protein ",2
"777","260460","Structural proteins","Virion structural protein",18
"778","263381","Replication and nucleic acid metabolism","DNA helicase",12
"779","263381","Replication and nucleic acid metabolism","HNH endonuclease domain protein",6
"780","263381","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",6
"781","263381","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"782","263381","Replication and nucleic acid metabolism","Ribonuclease H",3
"783","263381","Replication and nucleic acid metabolism","Ribonucleotide reductase",6
"784","263381","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",6
"785","263381","Replication and nucleic acid metabolism","Thymidylate kinase",3
"786","263381","Structural proteins","Major capsid protein",3
"787","263381","Structural proteins","Tail sheath protein ",3
"788","263381","Structural proteins","Virion structural protein",12
"789","263796","Auxilliary metabolic genes","Dihydrofolate reductase",3
"790","263796","Replication and nucleic acid metabolism","DNA helicase",9
"791","263796","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",3
"792","263796","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"793","263796","Replication and nucleic acid metabolism","Ribonuclease H",3
"794","263796","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",3
"795","263796","Replication and nucleic acid metabolism","Thymidylate kinase",3
"796","263796","Replication and nucleic acid metabolism","Thymidylate synthase",3
"797","263796","Structural proteins","Major capsid protein",3
"798","263796","Structural proteins","Tail sheath protein ",3
"799","263796","Structural proteins","Virion structural protein",30
"800","267299","Replication and nucleic acid metabolism","DNA helicase",6
"801","267299","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",2
"802","267299","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"803","267299","Replication and nucleic acid metabolism","Ribonuclease H",2
"804","267299","Replication and nucleic acid metabolism","Thymidylate kinase",2
"805","267299","Replication and nucleic acid metabolism","Thymidylate synthase",2
"806","267299","Structural proteins","Major capsid protein",2
"807","267299","Structural proteins","Tail sheath protein ",2
"808","267299","Structural proteins","Virion structural protein",20
"809","269911","Auxilliary metabolic genes","Dihydrofolate reductase",3
"810","269911","Replication and nucleic acid metabolism","DNA helicase",9
"811","269911","Replication and nucleic acid metabolism","DNA ligase",3
"812","269911","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",3
"813","269911","Replication and nucleic acid metabolism","Recombination endonuclease subunit",3
"814","269911","Replication and nucleic acid metabolism","Ribonuclease H",3
"815","269911","Replication and nucleic acid metabolism","Ribonucleotide reductase subunit",3
"816","269911","Replication and nucleic acid metabolism","Thymidylate kinase",3
"817","269911","Replication and nucleic acid metabolism","Thymidylate synthase",3
"818","269911","Structural proteins","Major capsid protein",3
"819","269911","Structural proteins","Tail sheath protein ",3
"820","269911","Structural proteins","Virion structural protein",30
"821","283077","Auxilliary metabolic genes","Dihydrofolate reductase",1
"822","283077","Lysis","Endolysin",1
"823","283077","Packaging and assembly","Terminase large subunit protein",2
"824","283077","Replication and nucleic acid metabolism","DHH phosphoesterase",1
"825","283077","Replication and nucleic acid metabolism","DNA helicase",3
"826","283077","Replication and nucleic acid metabolism","NAD-dependent DNA ligase subunit A",1
"827","283077","Replication and nucleic acid metabolism","Recombination endonuclease subunit",1
"828","283077","Replication and nucleic acid metabolism","Ribonuclease H",1
"829","283077","Replication and nucleic acid metabolism","Ribonucleotide reductase",1
"830","283077","Replication and nucleic acid metabolism","Thymidylate kinase",1
"831","283077","Replication and nucleic acid metabolism","Thymidylate synthase",1
"832","283077","Structural proteins","Baseplate wedge initiator",1
"833","283077","Structural proteins","Major capsid protein",1
"834","283077","Structural proteins","Tail sheath protein ",1
"835","283077","Structural proteins","Virion structural protein",9
"836","315556","Auxilliary metabolic genes","Dihydrofolate reductase",3
"837","315556","Auxilliary metabolic genes","Glutaredoxin",3
"838","315556","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",3
"839","315556","DNA-binding and transcription regulators","DNA methylase",3
"840","315556","DNA-binding and transcription regulators","RNA polymerase sigma factor",6
"841","315556","DNA-binding and transcription regulators","Transposase",27
"842","315556","Lysis","Endolysin",3
"843","315556","Lysis","Lysozyme",3
"844","315556","Packaging and assembly","Terminase large subunit protein",3
"845","315556","Replication and nucleic acid metabolism","DNA helicase",9
"846","315556","Replication and nucleic acid metabolism","DNA polymerase",3
"847","315556","Replication and nucleic acid metabolism","Exonuclease",3
"848","315556","Replication and nucleic acid metabolism","HNH endonuclease domain protein",3
"849","315556","Replication and nucleic acid metabolism","Recombination endonuclease subunit",6
"850","315556","Replication and nucleic acid metabolism","Thymidylate synthase",3
"851","315556","Structural proteins","Baseplate hub subunit",3
"852","315556","Structural proteins","Baseplate wedge initiator",3
"853","315556","Structural proteins","Baseplate wedge subunit",3
"854","315556","Structural proteins","Major capsid protein",3
"855","315556","Structural proteins","Neck protein",3
"856","315556","Structural proteins","Portal vertex protein",3
"857","315556","Structural proteins","Prohead core scaffolding protein and protease ",3
"858","315556","Structural proteins","Tail sheath protein ",3
"859","389119","Auxilliary metabolic genes","Dihydrofolate reductase",1
"860","389119","Auxilliary metabolic genes","Serine/threonine phosphatase family protein",1
"861","389119","DNA-binding and transcription regulators","dCMP deaminase",1
"862","389119","DNA-binding and transcription regulators","RNA polymerase sigma factor",1
"863","389119","DNA-binding and transcription regulators","Transposase",17
"864","389119","Lysis","Endolysin",2
"865","389119","Lysis","Lysozyme",3
"866","389119","Replication and nucleic acid metabolism","DNA helicase",3
"867","389119","Replication and nucleic acid metabolism","DNA polymerase",4
"868","389119","Replication and nucleic acid metabolism","DNA topisomerase subunit",2
"869","389119","Replication and nucleic acid metabolism","Recombination endonuclease subunit",2
"870","389119","Replication and nucleic acid metabolism","RNA ligase",1
"871","389119","Replication and nucleic acid metabolism","Thymidylate synthase",2
"872","389119","Structural proteins","Baseplate wedge subunit",1
"873","389119","Structural proteins","Major capsid protein",1
"874","389119","Structural proteins","Neck protein",1
"875","389119","Structural proteins","Portal vertex protein",1
"876","389119","Structural proteins","Prohead core scaffolding protein and protease ",2
"877","389119","Structural proteins","Tail sheath protein ",1
"878","389119","Structural proteins","Tail tube protein",1
